Variable,Description,Type,Value range,Notes,Stage (raw/preprocessed),Required
runNb,Run/block number,,1~8,"1-4 in ol_1, 5-8 in ol_2",Raw,Yes
runID,,,,,Raw,No
trialNb,Trial number within run/block,Discrete,1~12,Goes 1-12 then repeats,Raw,Yes
trType,Trial type,Nominal,"1,2","1 for observe, 2 for play",Raw,Yes
goalToken,Goal token,Nominal,"1,2,3","Token color that is rewarded. 1=green, 2=red, 3=blue",Raw,Yes
uncertainty,Slot machine uncertainty level,Nominal,"1,2","More uncertain = 2, less uncertain = 1",Raw,Yes
unavAct,Unavailable action,Nominal,"1,2,3","Unavailable slot machine. 1 = left, 2 = middle, 3 = right",Raw,Yes
corrAct,Correct action,Nominal,"1,2,3","Correct action given the (un)availability of the options. 1 = left, 2 = middle, 3 = right",Raw,Yes
bestAct,Best action,Nominal,"1,2,3","Best action of all three machines. 1 = left, 2 = middle, 3 = right",Raw,Yes
vertOrd,Slot machine vertical order for image,Nominal,"1,2,3","Determines slot machine image, see images folder",Raw,Yes
horizOrd,Horizontal order of slot machines,Nominal,"1,2,3","From design matrix, 1= [B,G,R], 2 = [R,B,G],3= [B,G,R]",Raw,Yes
isBreak,Last trial of block,,"0,1","1 if last trial, 0 if not",Raw,No
tokenIfLeft,Token if player chooses left,Nominal,"1,2,3","Token color provided if player chooses left, 1=green, 2=red, 3=blue",Raw,Yes
tokenIfMid,Token if player chooses middle,Nominal,"1,2,3","Token color provided if player chooses middle, 1=green, 2=red, 3=blue",Raw,Yes
tokenIfRight,Token if player chooses right,Nominal,"1,2,3","Token color provided if player chooses right, 1=green, 2=red, 3=blue",Raw,Yes
trials.thisRepN,,,0,,Raw,No
trials.thisTrialN,Trial number ,Discrete,0-47,,Raw,Yes
trials.thisN,,,,,Raw,No
trials.thisIndex,,,,,Raw,No
scannerTimer_sync,Scanner Timer at sync complete,Continuous,Should be ~0,,Raw,Yes
key_resp.keys,Keypresses during scanner sync,Nominal,,Should be None,Raw,No
key_resp.rt,Keypress RT during scanner sync,Continuous,,Only exists if key_resp.keys exists,Raw,No
sync_scanner_sync_scanner_text_started,,,,,Raw,No
scannerTimer_dummy_Start,Scanner time at dummy,Continuous,,,Raw,Yes
scannerTimer_dummy_End,Scanner time at dummy end,Continuous,,,Raw,No
scannerTimer_fixation_ob_Start,Scanner time at observe trials fixation start,Continuous,,,Raw,Yes
jitter1,Jitter 1 duration (observe fixation),Continuous,,Observe trials only,Raw,Yes
fixation_ob_dur,Beginning fixation duration on Observe trials,Continuous,,0 on play trials,Raw,Yes
fixation_ob_fixation_ob_text_started,,,,,Raw,No
scannerTimer_slot_machine_Start,Scanner time at observe trials slot machine,Continuous,,Observe trials only,Raw,Yes
slot_machine_dur,Slot machine duration on observe trials,,~2 or 0,"2 on Observe, 0 on Play",Raw,Yes
slot_machine_left_started,,,,,Raw,No
scannerTimer_wait_partner_Start,Scanner time at observe trials wait partner,Continuous,,Observe trials only,Raw,Yes
jitter2,Jitter 2 duration (wait partner choice),Continuous,,Observe trials only,Raw,Yes
wait_partner_dur,Wait partner duration (jitter 2),Continuous,,"Observe trials = Jitter 2, play = 0",Raw,Yes
wait_partner_wait_partner_text_started,,,,,Raw,No
scannerTimer_play_video_Start,Scanner time at observe trials play video,Continuous,,Observe trials only,Raw,Yes
play_video_dur,Watch video duration,Continuous,~2.3 or ~0,"Observe trials only, always 0.5 seconds",Raw,Yes
scannerTimer_fixation1_Start,Scanner time at observe trials fixation cross,,,Observe trials only,Raw,Yes
jitter3,Jitter 3 duration (end ITI),Continuous,0.5,"Observe trials only, always 0.5 seconds",Raw,Yes
fixation1_dur,Duration of observe trials fixation cross,Continuous,,"Observe trials only, always 0.5 seconds",Raw,Yes
fixation1_fixation1_cross_started,,,,,Raw,No
scannerTimer_fixation_pl_Start,Scanner timer at fixation start on play trials,Continuous,,Play trials only,Raw,Yes
fixation_pl_dur,Beginning fixation duration on Play trials,,,0 on Observe trials,Raw,Yes
fixation_pl_fixation_pl_text_started,,,,,Raw,No
scannerTimer_self_choice_Start,Scanner time at play trials self choice,Continuous,,Play trials only,Raw,Yes
self_choice_dur,Duration of self choice routine,Continuous,,"Play trials only, observe = 0",Raw,Yes
choice_keys,Keypress for choice,Nominal,"['left']['down']['right'], None",,Raw,Yes
self_choice_left_3_started,,,,,Raw,No
scannerTimer_feedback_Start,Scanner timer at play trials feedback (confirmation screen),Continuous,,Play trials only,Raw,Yes
feedback_dur,Feedback (confirmation) duration,Continuous,~0.5 or 0,"Play trials ~0.5, observe trials ~0",Raw,Yes
feedback_left_feedback_started,,,,,Raw,No
scannerTimer_wait_token_Start,Scanner timer at play trials waiting for token,Continuous,,Play trials only,Raw,Yes
wait_token_dur,Wait for token duration,Continuous,4-Jan,~Jitter 5,Raw,Yes
wait_token_wait_token_text_started,,,,,Raw,No
scannerTimer_token_Start,Scanner timer at play trials seeing token ,Continuous,,Play trials only,Raw,Yes
token_dur,See token duration,,~1 or 0,"Play trials ~1, observe trials ~0",Raw,Yes
token_token_image_started,,,,,Raw,No
scannerTimer_fixation2_Start,Scanner time at play trials fixation cross,Continuous,,Play trials only,Raw,Yes
score_thistrial,Score on this trial,Discrete,"0,10","Score from token color; 0 on observe trials and token color incorrect, 10 on color correct",Raw,Yes
totalscore,Total score,Discrete,mutiple of 10,Running total score at this trial,Raw,Yes
fixation2_dur,Play trial fixation cross duration,Continuous,0-3.5,0.5+3-RT,Raw,Yes
fixation2_fixation2_cross_started,,,,,Raw,No
jitter4,Jitter 4 duration (play fixation),Continuous,1~4,Play trials only,Raw,Yes
choice_RT,RT for choosing action,Continuous,0-3,Play trials only,Raw,Yes
responded,Responded or not,Nominal,"0,1","1=responded, 0=missed response, only on play trials",Raw,Yes
jitter5,Jitter 5 duration (wait token),Continuous,1~4,Play trials only,Raw,Yes
jitter6,Jitter 6 duration (end ITI),Continuous,0.5,"Play trials only, 0.5",Raw,Yes
scannerTimer_trial_End,Scanner time at end of each trial,Continuous,,,Raw,Yes
scannerTimer_exp_End,Scanner time at end of experiment,Continuous,,,Raw,Yes
pOrder,POrder,Nominal,1-150,Participant number determining order of tasks and stimuli,Raw,Yes
date,Date and time,String, in YYYY_Month_DD_HHMM format (e.g. 2025_Aug_19_1345),,Raw,Yes
expName,Experiment name,String,,,Raw,Yes
psychopyVersion,Version of psychopy used (e.g. 2021.1.2),String,,,Raw,Yes
frameRate,Records the monitor's frame rate (in fps),Continuous,~60 with variation,,Raw,Yes
